what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1507878235988
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1507878235988
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1507878235988
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1507878235988
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1507878235988
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1507878235988
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1507878235988
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1507878235988
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1507878235988
os,sysinfo,,,"win32",1507878236004
arch,sysinfo,,,"x86_64",1507878236004
ws,sysinfo,,,"win32",1507878236004
locale,sysinfo,,,"en_US",1507878236004
processors,sysinfo,,,"4",1507878236004
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1507878236004
java.runtime.version,sysinfo,,,"1.8.0_144-b01",1507878236004
java.specification.name,sysinfo,,,"Java Platform API Specification",1507878236004
java.specification.vendor,sysinfo,,,"Oracle Corporation",1507878236004
java.specification.version,sysinfo,,,"1.8",1507878236004
java.vendor,sysinfo,,,"Oracle Corporation",1507878236004
java.version,sysinfo,,,"1.8.0_144",1507878236004
java.vm.info,sysinfo,,,"mixed mode",1507878236004
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1507878236004
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1507878236004
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1507878236004
java.vm.specification.version,sysinfo,,,"1.8",1507878236004
java.vm.vendor,sysinfo,,,"Oracle Corporation",1507878236004
java.vm.version,sysinfo,,,"25.144-b01",1507878236004
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1507878236051
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1507878236318
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1507878236318
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1507878236349
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1507878236380
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1507878236458
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1507878243207
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1507878243223
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1507878243254
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1507878257079
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1507878293081
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1507878315409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1507878316667
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1507878316746
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1507878317154
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1507878317154
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1507878317154
